Date;Price
6/2/2023;1860,39
3/2/2023;1861,41
2/2/2023;1911,33
1/2/2023;1920,56
31/1/2023;1900,74
30/1/2023;1920,58
27/1/2023;1916,65
26/1/2023;1918,74
25/1/2023;1919,88
24/1/2023;1916,82
23/1/2023;1911,44
20/1/2023;1920,58
19/1/2023;1900,48
18/1/2023;1896,56
17/1/2023;1903,51
16/1/2023;1910,74
13/1/2023;1891,8
12/1/2023;1873,64
11/1/2023;1866,75
10/1/2023;1867,37
9/1/2023;1864,59
6/1/2023;1830,53
5/1/2023;1824,68
4/1/2023;1835,92
3/1/2023;1824,42
2/1/2023;1823,85
